[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips|erwartet_ohne_kleidung|taumel_ticks_lang|taumel_ticks_kurz
stoss|41|ohne|hinten|0.662|0.424|0.284|0.284|0.120-0.535|0.192|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.400|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.505|0.400|74|0.00,0.00,0.02,0.08,0.16,0.26,0.38,0.40
stoss|42|ohne|hinten|0.663|0.345|0.231|0.231|0.121-0.536|0.194|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.400|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.507|0.400|80|0.00,0.00,0.02,0.08,0.16,0.26,0.35,0.40,0.40
stoss|43|ohne|hinten|0.666|0.196|0.132|0.132|0.121-0.538|0.197|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.401|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.514|0.401|81|0.00,0.00,0.02,0.08,0.16,0.26,0.35,0.40,0.40
stoss|44|ohne|hinten|0.665|0.361|0.242|0.242|0.121-0.537|0.196|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.404|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.511|0.404|61|0.00,0.00,0.03,0.16,0.29,0.40,0.40
stoss|45|ohne|hinten|0.661|0.396|0.265|0.265|0.120-0.534|0.191|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.396|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.396|81|0.00,0.00,0.02,0.07,0.16,0.25,0.35,0.40,0.40
stoss|46|strong|hinten|0.667|0.746|0.703|0.703|0.170-0.755|0.427|BEHIND|frombehind|Zombie_PushedFwd_FromBehind|lang|lang|0.402|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.940|0.402|80|0.00,0.00,0.03,0.08,0.16,0.26,0.36,0.40,0.40
stoss|47|strong|hinten|0.660|0.240|0.224|0.224|0.168-0.747|0.421|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.404|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.929|0.404|81|0.00,0.00,0.03,0.08,0.16,0.26,0.35,0.40,0.40
stoss|48|strong|hinten|0.660|0.580|0.542|0.542|0.168-0.747|0.421|BEHIND|frombehind|Zombie_PushedFwd_FromBehind|lang|lang|0.403|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.929|0.403|79|0.00,0.00,0.03,0.09,0.18,0.28,0.38,0.40
stoss|49|strong|hinten|0.663|0.409|0.384|0.384|0.169-0.750|0.424|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.400|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.934|0.400|80|0.00,0.00,0.03,0.08,0.17,0.26,0.36,0.40,0.40
stoss|50|strong|hinten|0.666|0.340|0.320|0.320|0.170-0.753|0.427|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.397|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.938|0.397|77|0.00,0.00,0.02,0.11,0.19,0.29,0.39,0.40
stoss|51|ohne|vorn|0.662|0.199|0.133|0.133|0.120-0.535|0.192|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.505|0.595|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.49,0.59
stoss|52|ohne|vorn|0.668|0.236|0.159|0.159|0.121-0.540|0.199|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.597|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.518|0.597|77|0.00,0.01,0.04,0.11,0.20,0.30,0.41,0.52
