# Fenster aufbrechen: Runner (jogger) und Burglar am verriegelten Fenster
# Mess-Mod 6.51.0
# Build 42.20
# gespielt, nicht aufgerufen: OpenWindowState.onAttemptFinished ist privat und nur ueber AnimEvent erreichbar
# Fenster 10826,9436,0 W, Strength 5, Fitness 5, Alarm keiner
# Schalter beim Start: isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# Schalter am Ende:   isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# verglichen mit soll_mod (TF_Static), sonst soll_code; Toleranz je Zeile in der Notiz
# aus den Versuchen: je Fenster 45.0 % ohne, 22.5 % mit Burglar

[ergebnis]
ergebnis|werte=8|stimmen=8|weichen_ab=0|nicht_messbar=0|verworfen=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|normal|jogger|0.0000|0.0000|0.0000|-|0.0000|stimmt|Verlust je Oeffnen und Schliessen, faktor = der groessere; Abzuege ueber 0.001: 0 ohne, 0 mit Runner (soll 0)
wert|aufbrechen|jogger|0.0060|0.0054|0.9000|0.9000|0.9000|stimmt|Abzug je Versuch, 180 Versuche ohne, 46 mit Runner
wert|aufbrechen_abzug|ohne|0.0060|-|0.0060|-|0.0060|stimmt|Abzug je Versuch bei Fitness 5, Toleranz 5 %
wert|fensterklemmt|ohne|45.0000|-|45.0000|49.0000|48.9996|stimmt|Prozent der Fenster, die klemmen: 18 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|fensterklemmt|burglar|-|22.5000|22.5000|31.0000|31.2763|stimmt|Prozent der Fenster, die klemmen: 9 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|versuchklemmt|burglar|10.0000|3.9823|0.3982|-|0.5000|stimmt|Prozent Klemmen je Versuch, 180 und 226 Versuche (soll 10 und 5, Z. 163-168); Toleranz 2 Standardfehler
wert|versuchauf|ohne|13.5802|-|13.5802|-|11.5648|stimmt|Prozent Oeffnen je nicht klemmendem Versuch, 162 Versuche (Z. 177-188)
wert|versuchauf|burglar|-|14.2857|14.2857|-|11.5648|stimmt|dasselbe mit Burglar, 217 Versuche; Burglar aendert s nicht

[durchgaenge] nr|art|fall|ergebnis|ausgang|gilt|versuche|ticks|regen_je_tick|verlust|abzuege
durchgang|80|ringen|burglar|klemmt|fertig|1|18|1790|0.0000000|0.10800|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|81|ringen|ohne|klemmt|fertig|1|1|151|0.0000000|0.00600|0.00600
durchgang|82|ringen|burglar|auf|fertig|1|3|504|0.0000000|0.01800|0.00600,0.00600,0.00600
durchgang|83|ringen|ohne|auf|fertig|1|6|798|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|84|ringen|burglar|auf|fertig|1|11|1245|0.0000000|0.06600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|85|ringen|ohne|auf|fertig|1|5|688|0.0000000|0.03000|0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|86|ringen|burglar|auf|fertig|1|2|380|0.0000000|0.01200|0.00600,0.00600
durchgang|87|ringen|ohne|klemmt|fertig|1|8|831|0.0000000|0.04800|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|88|ringen|burglar|auf|fertig|1|1|305|0.0000000|0.00600|0.00600
durchgang|89|ringen|ohne|klemmt|fertig|1|2|251|0.0000000|0.01200|0.00600,0.00600
durchgang|90|ringen|burglar|klemmt|fertig|1|12|1220|0.0000000|0.07200|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|91|ringen|ohne|auf|fertig|1|1|290|0.0000000|0.00600|0.00600
durchgang|92|ringen|burglar|auf|fertig|1|2|397|0.0000000|0.01200|0.00600,0.00600
durchgang|93|ringen|ohne|auf|fertig|1|2|395|0.0000000|0.01200|0.00600,0.00600
durchgang|94|ringen|burglar|klemmt|fertig|1|10|1042|0.0000000|0.06000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|95|ringen|ohne|auf|fertig|1|4|610|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|96|ringen|burglar|auf|fertig|1|6|759|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|97|ringen|ohne|klemmt|fertig|1|1|141|0.0000000|0.00600|0.00600
durchgang|98|ringen|burglar|klemmt|fertig|1|3|347|0.0000000|0.01800|0.00600,0.00600,0.00600
